date,city,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,pressure,AQI
2024-01-01,Delhi,225.4,240.24,76.12,20.01,2.558,34.24,34.1,39.3,4.4,996.7,335.3
2024-01-01,Mumbai,104.33,126.0,52.44,17.44,1.479,21.74,28.6,75.5,1.1,1013.7,158.5
2024-01-01,Bengaluru,65.1,101.54,65.25,11.55,0.846,16.93,33.3,65.2,7.5,1012.1,98.0
2024-01-01,Kolkata,184.88,222.51,69.3,22.99,1.885,33.52,28.4,70.2,1.4,1001.0,275.2
2024-01-01,Chennai,59.83,127.63,36.51,12.48,1.384,24.08,24.7,45.5,3.1,1016.6,91.2
2024-01-01,Hyderabad,93.76,128.43,63.7,12.77,1.336,36.18,29.5,62.8,6.5,1014.5,143.4
2024-01-01,Ahmedabad,100.49,149.61,54.07,16.52,1.323,39.28,33.8,50.7,6.2,1004.7,154.9
2024-01-01,Pune,93.63,137.43,44.77,14.93,1.098,27.76,34.2,55.0,2.8,1017.9,140.5
2024-01-02,Delhi,156.95,244.7,67.39,25.84,2.633,28.13,19.1,54.1,9.0,1007.6,240.1
2024-01-02,Mumbai,126.51,124.41,72.48,17.74,1.472,22.78,29.5,40.6,4.5,1006.0,194.3
2024-01-02,Bengaluru,88.24,109.83,51.22,10.33,1.397,32.41,23.4,66.9,5.9,999.4,135.0
2024-01-02,Kolkata,147.4,280.12,68.42,13.45,1.574,16.01,34.7,78.9,7.7,1002.8,216.7
2024-01-02,Chennai,98.14,192.76,36.07,14.28,0.949,32.63,31.8,41.4,4.8,1008.1,144.9
2024-01-02,Hyderabad,107.66,152.62,46.32,16.38,1.639,19.78,23.6,84.8,6.2,1005.6,161.7
2024-01-02,Ahmedabad,92.71,173.64,54.89,20.22,1.341,22.51,19.3,66.6,2.8,1015.9,142.7
2024-01-02,Pune,71.28,134.85,58.15,11.93,0.998,35.06,28.3,58.6,7.3,1013.8,103.8
2024-01-03,Delhi,157.7,322.1,83.96,23.53,2.548,34.16,35.7,39.9,4.2,1003.5,240.2
2024-01-03,Mumbai,88.32,143.29,62.03,15.25,1.249,22.4,34.6,57.2,7.9,1008.1,128.0
2024-01-03,Bengaluru,93.57,153.81,65.61,16.07,1.354,18.33,26.7,45.7,4.2,997.3,139.1
2024-01-03,Kolkata,185.93,206.19,78.65,18.68,1.679,35.51,35.9,62.8,6.7,999.4,276.9
2024-01-03,Chennai,102.5,159.22,49.22,16.54,0.94,28.82,27.1,77.6,2.3,1017.1,149.5
2024-01-03,Hyderabad,71.41,169.12,61.89,13.46,1.112,34.12,22.4,64.7,6.0,1005.2,108.0
2024-01-03,Ahmedabad,121.64,262.25,50.01,21.69,1.349,26.58,30.1,50.0,3.5,1012.5,178.2
2024-01-03,Pune,93.6,207.85,68.52,10.71,1.06,21.12,34.8,79.0,8.0,1004.1,137.0
2024-01-04,Delhi,249.65,377.03,93.9,31.02,2.447,18.19,32.7,50.0,6.3,1016.7,370.8
